url,title,date_extracted,content,category
https://www.1tv.ru/news/2025-02-21/502053-peskov_zayavil_chto_obsuzhdat_snyatie_sanktsiy_ssha_s_rossii_prezhdevremenno,"Песков заявил, что обсуждать снятие санкций США с России преждевременно",2025-02-21,"Сугробы высотой в два этажа: мощный циклон парализовал Камчатку
Техника не справляется, а ветер сбивает с ног.
Сегодня, 09:58",
https://www.1tv.ru/news/2025-06-05/511737-prezident_predlozhil_sozdat_knizhnuyu_kartu_i_ustanovit_den_yazykov_narodov_rossii,Президент предложил создать книжную карту и установить День языков народов России,2025-06-05,"Сугробы высотой в два этажа: мощный циклон парализовал Камчатку
Техника не справляется, а ветер сбивает с ног.
Сегодня, 09:58",
https://www.1tv.ru/news/2025-08-19/518503-v_serbii_pytayutsya_ustroit_tsvetnuyu_revolyutsiyu_oplachennuyu_izvne_zayavil_prezident_aleksandr_vuchich,"В Сербии пытаются устроить цветную революцию, оплаченную извне, заявил президент Александр Вучич",2025-08-19,"Сугробы высотой в два этажа: мощный циклон парализовал Камчатку
Техника не справляется, а ветер сбивает с ног.
Сегодня, 09:58",
https://www.1tv.ru/news/2025-01-24/499186-vypusk_programmy_vremya_ot_24_01_2025,Выпуск программы «Время» от 24.01.2025,2025-01-24,"Сугробы высотой в два этажа: мощный циклон парализовал Камчатку
Техника не справляется, а ветер сбивает с ног.
Сегодня, 09:58",
https://www.1tv.ru/news/2025-03-23/504903-ukrainskie_voennye_priznayut_chto_kievskiy_rezhim_brosil_ih_na_proizvol_sudby,"Украинские военные признают, что киевский режим бросил их на произвол судьбы",2025-03-23,"Сугробы высотой в два этажа: мощный циклон парализовал Камчатку
Техника не справляется, а ветер сбивает с ног.
Сегодня, 09:58",
https://www.1tv.ru/news/2025-06-02/511426-pobedu_vo_vtorom_ture_prezidentskih_vyborov_v_polshe_oderzhal_kandidat_ot_oppozitsii_karol_navrotskiy,Победу во втором туре президентских выборов в Польше одержал кандидат от оппозиции Кароль Навроцкий,2025-06-02,"Сугробы высотой в два этажа: мощный циклон парализовал Камчатку
Техника не справляется, а ветер сбивает с ног.
Сегодня, 09:58",
https://www.1tv.ru/news/2025-11-18/526319-v_moskve_sostoyalis_peregovory_glav_mid_rossii_i_pakistana,В Москве состоялись переговоры глав МИД России и Пакистана,2025-11-18,"Сугробы высотой в два этажа: мощный циклон парализовал Камчатку
Техника не справляется, а ветер сбивает с ног.
Сегодня, 09:58",
https://www.1tv.ru/news/2025-07-06/514485-zhenschiny_kotorye_poluchili_zvanie_mat_geroinya_budut_po_lgotam_priravneny_k_geroyam_truda,"Женщины, которые получили звание «Мать-героиня», будут по льготам приравнены к героям труда",2025-07-06,"Сугробы высотой в два этажа: мощный циклон парализовал Камчатку
Техника не справляется, а ветер сбивает с ног.
Сегодня, 09:58",
https://www.1tv.ru/news/2025-07-02/514130-analiticheskaya_programma_odnako_s_mihailom_leontievym_ot_02_07_2025,Аналитическая программа «Однако» с Михаилом Леонтьевым от 02.07.2025,2025-07-02,"Сугробы высотой в два этажа: мощный циклон парализовал Камчатку
Техника не справляется, а ветер сбивает с ног.
Сегодня, 09:58",
https://www.1tv.ru/news/2025-08-29/519416-pervyy_kanal_i_kinoteatr_okko_podgotovili_k_novomu_sezonu_programmu_na_lyuboy_vkus,Первый канал и кинотеатр Okko подготовили к новому сезону программу на любой вкус,2025-08-29,"Сугробы высотой в два этажа: мощный циклон парализовал Камчатку
Техника не справляется, а ветер сбивает с ног.
Сегодня, 09:58",
https://www.1tv.ru/news/2025-07-14/515231-v_pamyat_ob_aleksandre_mitte_vecherom_na_pervom_kanale_film_granitsa_taezhnyy_roman,В память об Александре Митте вечером на Первом канале фильм «Граница. Таежный роман»,2025-07-14,"Сугробы высотой в два этажа: мощный циклон парализовал Камчатку
Техника не справляется, а ветер сбивает с ног.
Сегодня, 09:58",
https://www.1tv.ru/news/2025-08-16/518227-tankisty_brigady_neuderzhimyh_vypolnyayut_boevye_zadachi_na_krasnoarmeyskom_napravlenii,Танкисты бригады «Неудержимых» выполняют боевые задачи на Красноармейском направлении,2025-08-16,"Сугробы высотой в два этажа: мощный циклон парализовал Камчатку
Техника не справляется, а ветер сбивает с ног.
Сегодня, 09:58",
https://www.1tv.ru/news/issue/2025-12-27/12:00,Выпуск новостей в 12:00 от 27.12.2025,2025-12-27,"Сугробы высотой в два этажа: мощный циклон парализовал Камчатку
Техника не справляется, а ветер сбивает с ног.
Сегодня, 09:58",
https://www.1tv.ru/news/2025-03-05/503204-rossiyskaya_armiya_osvobodila_selo_privolnoe_v_donetskoy_narodnoy_respublike,Российская армия освободила село Привольное в Донецкой народной республике,2025-03-05,"Сугробы высотой в два этажа: мощный циклон парализовал Камчатку
Техника не справляется, а ветер сбивает с ног.
Сегодня, 09:58",
https://www.1tv.ru/news/2025-07-01/514018-tak_zamanchivo_obostrit_eto_mask_prokommentiroval_ugrozu_trampa_o_deportatsii,«Так заманчиво обострить это» — Маск прокомментировал угрозу Трампа о депортации,2025-07-01,"Сугробы высотой в два этажа: мощный циклон парализовал Камчатку
Техника не справляется, а ветер сбивает с ног.
Сегодня, 09:58",
https://www.1tv.ru/news/2025-10-06/522649-po_vsey_strane_tysyachi_muzhchin_prihodyat_v_punkty_otbora_chtoby_zaklyuchit_kontrakt_s_minoborony,"По всей стране тысячи мужчин приходят в пункты отбора, чтобы заключить контракт с Минобороны",2025-10-06,"Сугробы высотой в два этажа: мощный циклон парализовал Камчатку
Техника не справляется, а ветер сбивает с ног.
Сегодня, 09:58",
https://www.1tv.ru/news/2025-08-14/518018-v_evrope_styagivayut_dopolnitelnye_sily_dlya_tusheniya_prirodnyh_pozharov,В Европе стягивают дополнительные силы для тушения природных пожаров,2025-08-14,"Сугробы высотой в два этажа: мощный циклон парализовал Камчатку
Техника не справляется, а ветер сбивает с ног.
Сегодня, 09:58",
