url,title,date_extracted,content,category
https://www.1tv.ru/news/2004-03-05/244039-v_anglii_razvorachivaetsya_novyy_skandal_vokrug_printsa_charlza,В Англии разворачивается новый скандал вокруг принца Чарльза,2004-03-05,"Соучастника нападения на техникум в Анапе задержали в Краснодарском крае
В СК России сообщили, что он подозревается в подстрекательстве к совершению убийства и покушению на убийство.
Сегодня, 13:26",
https://www.1tv.ru/news/2004-04-26/245529-zakon_o_ratifikatsii_konventsii_oon,Закон о ратификации Конвенции ООН,2004-04-26,"Соучастника нападения на техникум в Анапе задержали в Краснодарском крае
В СК России сообщили, что он подозревается в подстрекательстве к совершению убийства и покушению на убийство.
Сегодня, 13:26",
https://www.1tv.ru/news/2004-01-24/246354-rabotu_genshtaba_neobhodimo_reorganizovat,Работу Генштаба необходимо реорганизовать,2004-01-24,"Соучастника нападения на техникум в Анапе задержали в Краснодарском крае
В СК России сообщили, что он подозревается в подстрекательстве к совершению убийства и покушению на убийство.
Сегодня, 13:26",
https://www.1tv.ru/news/2004-03-31/244777-analiticheskaya_programma_odnako_s_mihailom_leontievym,Аналитическая программа «Однако» с Михаилом Леонтьевым от 31.03.2004,2004-03-31,"Соучастника нападения на техникум в Анапе задержали в Краснодарском крае
В СК России сообщили, что он подозревается в подстрекательстве к совершению убийства и покушению на убийство.
Сегодня, 13:26",
https://www.1tv.ru/news/2004-06-21/243648-v_kalifornii_sostoyalsya_pervyy_v_istorii_zapusk_chastnogo_kosmicheskogo_korablya,В Калифорнии состоялся первый в истории запуск частного космического корабля,2004-06-21,"Соучастника нападения на техникум в Анапе задержали в Краснодарском крае
В СК России сообщили, что он подозревается в подстрекательстве к совершению убийства и покушению на убийство.
Сегодня, 13:26",
https://www.1tv.ru/news/2004-08-31/242368-v_kiev_pribyl_predsedatel_komiteta_po_inostrannym_delam_senata_ssha_richard_lugar,В Киев прибыл председатель комитета по иностранным делам сената США Ричард Лугар,2004-08-31,"Минздрав: закрыть больничный теперь можно через мессенджер Max
Лечащий врач может дистанционно проверить состояние здоровья пациента.
Сегодня, 13:29",
https://www.1tv.ru/news/2004-10-30/240744-novyy_terakt_v_bagdade,Новый теракт в Багдаде,2004-10-30,"Минздрав: закрыть больничный теперь можно через мессенджер Max
Лечащий врач может дистанционно проверить состояние здоровья пациента.
Сегодня, 13:29",
https://www.1tv.ru/news/2004-03-31/244780-pervyy_ofitsialnyy_match_v_novom_sezone_futbolisty_sbornoy_rossii_sygrali_vnichyu_s_komandoy_bolgarii,Первый официальный матч в новом сезоне футболисты сборной России сыграли вничью с командой Болгарии,2004-03-31,"Выпуск программы «Время» от 11.02.2026
Смотрите в этом выпуске: нанесены новые удары по украинским военным тылам и продолжается продвижение на передовой; репортаж о том, как готовят бойцов для Войск беспилотных систем в учебном центре Росгвардии в Подмосковье; с вилами и палками на людоловов Зеленского — на Украине все жестче отпор насильственной мобилизации;
11 февраля, 22:05",
https://www.1tv.ru/news/2004-07-20/241292-prezident_gruzii_mihail_saakashvili_povyshaet_gradus_vyskazyvaniy_po_yuzhnoosetinskoy_probleme,Президент Грузии Михаил Саакашвили повышает градус высказываний по южноосетинской проблеме,2004-07-20,"Минздрав: закрыть больничный теперь можно через мессенджер Max
Лечащий врач может дистанционно проверить состояние здоровья пациента.
Сегодня, 13:29",
https://www.1tv.ru/news/2004-11-30/238110-vneocherednoe_zasedanie_verhovnoy_rady_ukrainy,Внеочередное заседание Верховной рады Украины,2004-11-30,"Минздрав: закрыть больничный теперь можно через мессенджер Max
Лечащий врач может дистанционно проверить состояние здоровья пациента.
Сегодня, 13:29",
https://www.1tv.ru/news/cultura/2004-08-30,Новости рубрики «Культура» за 30 августа 2004 года,2004-08-30,"В Бердянске проходит 7-ой международный кинофестиваль «Бригантина»
В конкурсной программе два фильма «Первого канала» — «72 метра» и «Егерь». Кинофорум «Бригантина», по мнению участников, отличается домашней атмосферой — здесь нет лимузинов и ковровых дорожек. Однако невероятное радушие публики с лихвой компенсирует недостаток внешнего лоска.
30 августа 2004, 12:52",cultura
https://www.1tv.ru/news/cultura/2004-03-02,Новости рубрики «Культура» за  2 марта 2004 года,2004-03-02,"В России идет подготовка к празднованию 250-летия основания русского национального театра
Отметить круглую дату решили с размахом. Детали предстоящих торжеств руководители двух старейших театров страны — Малого и Александринского — обсуждали с Президентом. Вначале встречи Владимир Путин зачитал указ императрицы Елизаветы об учреждении первого в России театра.
02 марта 2004, 19:01",cultura
https://www.1tv.ru/news/2004-07-10/241010-rossiyskiy_mid_kommentiruet_poslednie_sobytiya_v_zone_gruzinsko_osetinskogo_konflikta,Российский МИД комментирует последние события в зоне грузинско-осетинского конфликта,2004-07-10,"Минздрав: закрыть больничный теперь можно через мессенджер Max
Лечащий врач может дистанционно проверить состояние здоровья пациента.
Сегодня, 13:29",
https://www.1tv.ru/news/2004-08-29/242311-avtokatastrofa_vo_frantsii,Автокатастрофа во Франции,2004-08-29,"Минздрав: закрыть больничный теперь можно через мессенджер Max
Лечащий врач может дистанционно проверить состояние здоровья пациента.
Сегодня, 13:29",
https://www.1tv.ru/news/2004-07-03/240830-moskovskiy_zoopark_prazdnuet_140_letie,Московский зоопарк празднует 140-летие,2004-07-03,"Минздрав: закрыть больничный теперь можно через мессенджер Max
Лечащий врач может дистанционно проверить состояние здоровья пациента.
Сегодня, 13:29",
https://www.1tv.ru/news/cultura/2004-07-07,Новости рубрики «Культура» за  7 июля 2004 года,2004-07-07,"Поздравления с юбилеем принимает Елена Образцова
В этом году всемирно известная оперная певица отмечается и 40-летие творческой деятельности. В связи с этим последние полгода Елена Образцова провела на гастролях, посетив Украину, Узбекистан, Испанию и США.
07 июля 2004, 13:00",cultura
https://www.1tv.ru/news/2004-05-14/242694-zavtra_zriteli_pervogo_kanala_smogut_vybrat_luchshuyu_pesnyu_muzykalnogo_konkursa_evrovidenie,Завтра зрители Первого канала смогут выбрать лучшую песню музыкального конкурса «Евровидение»,2004-05-14,"Минздрав: закрыть больничный теперь можно через мессенджер Max
Лечащий врач может дистанционно проверить состояние здоровья пациента.
Сегодня, 13:29",
https://www.1tv.ru/news/2004-06-29/243840-pyat_bliznetsov_v_rezultate_iskusstvennogo_oplodotvoreniya,Пять близнецов в результате искусственного оплодотворения,2004-06-29,"Минздрав: закрыть больничный теперь можно через мессенджер Max
Лечащий врач может дистанционно проверить состояние здоровья пациента.
Сегодня, 13:29",
