url,title,date_extracted,content,category,title_en,content_en
https://www.1tv.ru/news/2026-02-03/532774,Конституционный суд разрешил гражданам временную регистрацию в апартаментах,2026-02-03,"Соучастника нападения на техникум в Анапе задержали в Краснодарском крае
В СК России сообщили, что он подозревается в подстрекательстве к совершению убийства и покушению на убийство.
Сегодня, 13:26",,Constitutional Court Allows Citizens Temporary Registration in Apartments,"Accomplice in the attack on the technical school in Anapa detained in the Krasnodar region
The Investigative Committee of Russia reported that he is suspected of incitement to commit murder and attempted murder.
Today, 13:26."
https://www.1tv.ru/news/2026-02-07/533155,ВСУ атаковали Брянскую область дальнобойными ракетами «Нептун» и РСЗО Himars,2026-02-07,"Минздрав: закрыть больничный теперь можно через мессенджер Max
Лечащий врач может дистанционно проверить состояние здоровья пациента.
Сегодня, 13:29",,"APU attacked the Bryansk region long-range missiles ""Neptune"" and MLRS Himars","The Ministry of Health: you can now close the hospital through the Max messenger
The attending physician can remotely check the patient's health.
Today, 13:29."
https://www.1tv.ru/news/2026-02-12/533567,С космодрома «Байконур» стартовала тяжелая ракета-носитель «Протон-М»,2026-02-12,"Выпуск программы «Время» от 11.02.2026
Смотрите в этом выпуске: нанесены новые удары по украинским военным тылам и продолжается продвижение на передовой; репортаж о том, как готовят бойцов для Войск беспилотных систем в учебном центре Росгвардии в Подмосковье; с вилами и палками на людоловов Зеленского — на Украине все жестче отпор насильственной мобилизации;
11 февраля, 22:05",,"From the cosmodrome ""Baikonur"" launched a heavy carrier rocket ""Proton-M""","Release of the program ""Time"" from 11.02. 2026
See in this issue: new blows were inflicted on the Ukrainian military rear and progress continues on the front lines; a report on how fighters are being trained for the UAV Troops in the training center of Regardie in the Moscow region; with pitchforks and sticks on Zelensky’s ludols – in Ukraine, violent mobilization is increasingly rebuffed;
February 11, 22:05"
https://www.1tv.ru/news/2026-01-24/531869,Bloomberg: европейцы способны лишь советоваться и колебаться,2026-01-24,"Выпуск программы «Время» от 10.02.2026
Смотрите в этом выпуске: В ФСБ сообщили о задержании еще одного соучастника покушения на генерал-лейтенанта Владимира Алексеева; в Запорожской области ВСУ нанесли удар по людям во время похоронной процессии в селе Скельки; об атаках украинских террористов на объекты промышленности, энергетики и транспорта говорили на заседании НАК.
10 февраля, 22:00",,Bloomberg: Europeans can only consult and hesitate,"Release of the program ""Time"" from 10.02. 2026
Watch this episode: The FSB reported on the detention of another accomplice in the assassination attempt on Lieutenant General Vladimir Alekseev; in the Zaporozhye region, the AFU struck people during a funeral procession in the village of Skelki; attacks by Ukrainian terrorists on industrial, energy and transport facilities were discussed at a meeting of the NAC.
February 10, 22:00"
https://www.1tv.ru/news/2026-02-10/533432,Петр Гуменник лидирует после первой разминки на Олимпиаде,2026-02-10,"Российские силы ПВО за сутки сбили пять крылатых ракет ВСУ «Фламинго»
Также бойцы РФ уничтожили 211 украинских дронов.
Сегодня, 13:54",,Petr Gumennik leads after first warm-up at the Olympics,"Russian air defense forces shot down five Flamingo cruise missiles in a day
Russian fighters also destroyed 211 Ukrainian drones.
Today, 13:54."
https://www.1tv.ru/news/2026-01-27/532049,Импортозамещенный «Суперджет» и турбовинтовой Ил-114-300 прибыли на международную выставку Wings India,2026-01-27,"Российские силы ПВО за сутки сбили пять крылатых ракет ВСУ «Фламинго»
Также бойцы РФ уничтожили 211 украинских дронов.
Сегодня, 13:54",,"Import-substituted ""Superjet"" and turboprop IL-114-300 arrived at the international exhibition Wings India","Russian air defense forces shot down five Flamingo cruise missiles in a day
Russian fighters also destroyed 211 Ukrainian drones.
Today, 13:54."
https://www.1tv.ru/news/2026-02-12/533541,Зарплаты военных осенью повысят на 4%,2026-02-12,"Выпуск новостей в 15:00 от 12.02.2026
В Русском музее начался финальный этап монтажа шедевра Карла Брюллова
На свое место в Михайловском дворце вернулась картина «Последний день Помпеи». Учитывая гигантские размеры полотна — 6,5 на 4,5 метра, на время работ пришлось закрыть для посетителей сразу несколько залов до следующего вторника.
Сегодня, 15:13",,Military salaries will increase by 4% in autumn,"News release at 15:00 from 12.02. 2026
In the Russian Museum began the final stage of installation of the masterpiece of Karl Bryullov
The painting “The Last Day of Pompeii” returned to its place in the Mikhailovsky Palace. Given the giant size of the canvas — 6.5 by 4.5 meters, during the work had to close for visitors several halls until next Tuesday.
Today, 15:13."
https://www.1tv.ru/news/2026-01-25/531927,Бастрыкин вручил ведомственные награды бойцам ВС РФ в Санкт-Петербургском госпитале,2026-01-25,"Выпуск новостей в 15:00 от 12.02.2026
Смотрите в этом выпуске: Владимир Путин в Кремле встретился с руководителем Росимущества Вадимом Яковенко; в нашем Минобороны сегодня подтвердили групповой удар по энергетическим объектам на Украине; ажиотаж среди желающих служить в войсках беспилотных систем; новый мощный снегопад обрушился на московский регион.
Сегодня, 15:15",,Bastrykin presented departmental awards to soldiers of the Armed Forces of the Russian Federation in St. Petersburg hospital,"News release at 15:00 from 12.02. 2026
See in this issue: Vladimir Putin in the Kremlin met with the head of the Federal Property Management Agency Vadim Yakovenko; in our Defense Ministry today confirmed a group strike on energy facilities in Ukraine; excitement among those who want to serve in the troops of unmanned systems; a new powerful snowfall hit the Moscow region.
Today, 15:15."
https://www.1tv.ru/news/2026-01-27/532047,27 января — Международный день памяти жертв Холокоста,2026-01-27,"В Новосибирске начались поиски пропавшей на берегу Оби девочки
В следственном управлении СК России по региону предполагают, что ребенок мог утонуть, катаясь на «ватрушке».
Сегодня, 15:35",,January 27 – International Holocaust Remembrance Day,"In Novosibirsk began the search for missing on the banks of the Ob girl
The Investigative Department of the Investigative Committee of Russia in the region suggest that the child could drown while riding a “vatrushka”.
Today, 15:35."
https://www.1tv.ru/news/2026-01-25/531898,В России отмечают День штурмана Военно-морского флота,2026-01-25,"В Новосибирске начались поиски пропавшей на берегу Оби девочки
В следственном управлении СК России по региону предполагают, что ребенок мог утонуть, катаясь на «ватрушке».
Сегодня, 15:35",,In Russia celebrate the Day of the Navigator of the Navy,"In Novosibirsk began the search for missing on the banks of the Ob girl
The Investigative Department of the Investigative Committee of Russia in the region suggest that the child could drown while riding a “vatrushka”.
Today, 15:35."
