url,title,date_extracted,content,category
https://www.1tv.ru/news/2023-01-01/444601-vypusk_programmy_vremya_v_21_00_ot_01_01_2023,Выпуск программы «Время» в 21:00 от 01.01.2023,2023-01-01,"Смотрите в этом выпуске: информационная программа «Время» отмечает 55-летие; россияне встретили Новый год, праздник, полный радости и больших надежд; заядлые путешественники встречают новогоднюю ночь в поезде; участники спецоперации встретили Новый год на передовой.",
https://www.1tv.ru/news/2023-01-01/444611-v_programme_vremya_novaya_minuta_eksklyuzivnyh_kadrov_iz_pervogo_v_istorii_kino_snyatogo_na_orbite,"В программе «Время» — новая минута эксклюзивных кадров из первого в истории кино, снятого на орбите",2023-01-01,"Время чудес не заканчивается. И заглянем уже в будущее, не такое отдаленное. 12 апреля — премьера первого в истории кино, снятого на орбите. «Вызов» — грандиозный научно-просветительский проект Первого канала и Роскосмоса.",
https://www.1tv.ru/news/2023-01-01/444610-reportazh_v_programme_vremya_izmenil_sudbu_malenkoy_devochki_nyuty,Репортаж в программе «Время» изменил судьбу маленькой девочки Нюты,2023-01-01,"Идет «Время». Вроде недавно отметили полвека программы. Многое стало другим вместе с нашими эфирами. Страна, мир, технологии телевидения, которые пережили просто-таки вертикальный взлет, люди в команде Первого.",
https://www.1tv.ru/news/2023-01-01/444609-vserossiyskaya_elka_zhelaniy_prinesla_ispolnenie_mechty_13_letney_dashe_iz_izhevska,Всероссийская «Елка желаний» принесла исполнение мечты 13-летней Даше из Ижевска,2023-01-01,"Папа Даши сейчас защищает страну в зоне специальной военной операции, а сама она учится в кадетском классе, занимается в школе юных летчиков. Девочка хотела летный шлем и пригласительный на парад в честь Дня Победы на Красной площади.",
https://www.1tv.ru/news/2023-01-01/444608-s_novogo_goda_vstupili_v_silu_srazu_neskolko_vazhnyh_novovvedeniy,С нового года вступили в силу сразу несколько важных нововведений,2023-01-01,"Одно касается семей с детьми, чей средний доход не превышает регионального прожиточного минимума. Все положенные детские выплаты теперь включены в единое пособие. Оформить его можно через портал Госуслуг или лично в МФЦ.",
https://www.1tv.ru/news/2023-01-01/444607-valentina_matvienko_u_rossii_i_brazilii_odinakovoe_videnie_buduschego_mira,Валентина Матвиенко: У России и Бразилии одинаковое видение будущего мира,2023-01-01,Спикер Совета Федерации Валентина Матвиенко представляет Россию на инаугурации президента Лулы да Силвы. Незадолго до церемонии новый бразильский лидер и Валентина Матвиенко тепло пообщались.,
https://www.1tv.ru/news/2023-01-01/444606-v_minoborony_rf_rasskazali_ob_unichtozhenii_arsenala_na_podkontrolnoy_kievu_chasti_zaporozhskoy_oblasti,В Минобороны РФ рассказали об уничтожении арсенала на подконтрольной Киеву части Запорожской области,2023-01-01,Уничтожение базы элитного подразделения украинского спецназа попало на видео. Это Хмельницкий — запад Украины. Виден момент подлета ракеты или беспилотника к цели. Затем мощный взрыв.,
https://www.1tv.ru/news/2023-01-01/444612-v_novogodnyuyu_noch_na_pervom_zvuchali_davno_lyubimye_melodii_i_pesni_napisannye_uchastnikami_nyneshnih_srazheniy,"В «Новогоднюю ночь на Первом» звучали давно любимые мелодии и песни, написанные участниками нынешних сражений",2023-01-01,"Это программа «Время», и нам сегодня 55 лет. В 1999-м, когда новости выходили из студии, впервые появилась в эфире «Новогодняя ночь» на тогда еще ОРТ. Вместо «Голубых огоньков» — шоу звезд.",
https://www.1tv.ru/news/2023-01-01/444603-uchastniki_spetsoperatsii_vstretili_novyy_god_na_peredovoy,Участники спецоперации встретили Новый год на передовой,2023-01-01,"И еще чуть об «Иронии судьбы». 91-й год, когда новости выходили из такой студии, стал последним годом показа этого фильма на советском телевидении. Да и финалом самого Советского Союза. А к рубежу XX и XXI столетий — программа «Время» разменяла уже четвертый десяток лет в эфире.",
https://www.1tv.ru/news/2023-01-01/444605-zayadlye_puteshestvenniki_vstrechayut_novogodnyuyu_noch_v_poezde,Заядлые путешественники встречают новогоднюю ночь в поезде,2023-01-01,"Перенесемся в 70-е, когда программа «Время» стала ежедневной и получила постоянное время в эфире — 21:00, чтобы люди успели вернуться с работы, поужинать и отдохнуть. Вот точно в такой же день 1 января в 1976-м впервые по телевизору показали «Иронию судьбы, или с Легким паром». Фильм-путешествие во времени из одного года в другой.",
